"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00252065","CULBERTSON, NE US","1891",,,"        84","        60","       17",,,,,,,,"102",,"113.0",,,,,,,,,,,,,,"853.9",,,,
"USC00252065","CULBERTSON, NE US","1892",,,"        81","        48","       12",,,,,,,,"152",,"73.2",,,,,,,,,,,,,,"585.4",,,,
"USC00252065","CULBERTSON, NE US","1894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00252065","CULBERTSON, NE US","1895",,,"        39","        32","        0","         8",,,,,,,"0","76.0","48.5",,,,,,,,,,,,,,"502.2","454.0",,,
"USC00252065","CULBERTSON, NE US","1896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00252065","CULBERTSON, NE US","1897",,,"        64","        49","        0","         7",,,,,,,"0","305.0","76.2",,,,,,,,,,,,,,"735.8","843.0",,,
"USC00252065","CULBERTSON, NE US","1898",,,"        43","        37","        1","         6",,,,,,,"25","64.0","69.3",,,,,,,,,,,,,,"500.1","314.0",,,
"USC00252065","CULBERTSON, NE US","1899",,,"        59","        34","        0","         4",,,,,,,"0","152.0","44.5",,,,,,,,,,,,,,"449.7","605.0",,,
"USC00252065","CULBERTSON, NE US","1900",,,"        61","        38","        1","         7",,,,,,,"25","203.0","51.6",,,,,,,,,,,,,,"393.1","558.0",,,
"USC00252065","CULBERTSON, NE US","1901",,,"        50","        36","        4","         9",,,,,,,"76","305.0","91.4",,,,,,,,,,,,,,"427.4","749.0",,,
"USC00252065","CULBERTSON, NE US","1902",,,"        47","        44","        1","         6",,,,,,,"76","127.0","62.0",,,,,,,,,,,,,,"605.2","367.0",,,
"USC00252065","CULBERTSON, NE US","1903",,,"        72","        35","        3","         7",,,,,,,"102","152.0","48.3",,,,,,,,,,,,,,"519.6","634.0",,,
"USC00252065","CULBERTSON, NE US","1904","475.9","475.9","        71","        39","        0","         4","        12","       161","         8","       184","        51","-26.1","0","51.0","39.9","37.8","-5.6","-5.6","-5.6","-6.7","-10.0","-1.7","-2.8","-5.0","-10.6","-10.6",,,"506.1","126.0","11.5","20.8","2.2"
"USC00252065","CULBERTSON, NE US","1905",,,"        82","        54","        7","         8","        17","       157",,,,"-33.3","152","152.0","57.7",,"0.0","-2.2","-4.4","-7.2","-10.0","-2.2","-2.2","-4.4","-7.8","-9.4","3053.0","3053.0","663.6","660.0",,,"2.1"
"USC00252065","CULBERTSON, NE US","1906",,,"        63","        40","       10","        14",,,"        19","       197","        82",,"254","254.0","36.1","37.8",,,,,,,,,,,,,"452.1","1253.0",,"20.5",
"USC00252065","CULBERTSON, NE US","1907",,,"        60","        37","        5","         6",,,,,,,"305","305.0","61.0",,,,,,,,,,,,,,"412.4","813.0",,,
"USC00252065","CULBERTSON, NE US","1908",,,"        53","        35","        1","         1",,,,,,,"25","36.0","59.2",,,,,,,,,,,,,,"463.7","111.0",,,
"USC00252065","CULBERTSON, NE US","1909",,,,,,,,,,,,,,,,,,,,,,,,,,,"2825.0","2825.0",,,,,
"USC00252065","CULBERTSON, NE US","1910",,,"        48","        27","        1","         1",,,"        16","       199","        74",,"25","89.0","33.3","44.4",,,,,,,,,,,,,"302.9","141.0",,"20.3",
"USC00252065","CULBERTSON, NE US","1911",,,"        61","        42","        0","         4",,,,,,,"0","152.0","38.9",,,,,,,,,,,,,,"401.1","539.0",,,
"USC00252065","CULBERTSON, NE US","1912",,,"        65","        46","        1","        10",,,,,,,"203","203.0","32.3",,,,,,,,,,,,,,"529.3","1111.0",,,
"USC00252065","CULBERTSON, NE US","1913",,,"        61","        41","        0","         7",,,,,,,"0","254.0","33.5",,,,,,,,,,,,,,"464.1","455.0",,,
"USC00252065","CULBERTSON, NE US","1914",,,"        53","        35","        4","         4","        25","       158","        22","       201","        66","-28.9","229","152.0","65.5","41.7","-1.7","-6.7","-6.7","-6.7","-9.4","-1.1","-2.8","-6.1","-8.3","-11.1",,,"460.0","419.0","10.9","20.1","1.7"
"USC00252065","CULBERTSON, NE US","1915",,,"        68","        54","        3","         7",,,,,,,"51","305.0","87.4",,,,,,,,,,,,"3732.8","3732.8","964.7","928.0",,,
"USC00252065","CULBERTSON, NE US","1916","532.1","532.1","        69","        42","       24","        12","        31","       178","        37","       182","        67","-28.3","76","76.0","33.0","40.0","0.0","-5.0","-5.0","-10.0","-10.0","-2.2","-2.2","-5.6","-6.7","-9.4",,,"486.4","583.0","9.6","18.9","0.4"
"USC00252065","CULBERTSON, NE US","1917","514.6","514.6","        61","        42","       22","         6","        25","       185","        31","       158","        61","-26.1","76","76.0","55.9","42.2","-5.6","-5.6","-5.6","-7.8","-10.6","0.0","-3.3","-8.3","-8.3","-8.9","3665.1","3665.1","377.5","292.0","9.6","19.0","0.2"
"USC00252065","CULBERTSON, NE US","1918",,,"        66","        40","       38","        14","        23","       162","        31","       178","        64","-34.4","203","152.0","36.8","41.7","-4.4","-4.4","-4.4","-6.7","-8.9","-1.7","-4.4","-4.4","-6.7","-8.9",,,"505.6","1130.0","10.6","19.3","1.9"
"USC00252065","CULBERTSON, NE US","1919","676.1","676.1","        79","        48","       63","        17","        23","       174","        30","       157","        72","-33.9","356","254.0","41.7","40.6","0.0","-3.3","-4.4","-10.0","-10.0","-1.1","-3.9","-5.0","-8.3","-11.7","3254.4","3254.4","503.1","1218.0","9.8","18.1","1.6"
"USC00252065","CULBERTSON, NE US","1920","466.3","466.3","        74","        48","       19","        10","         7","       183","        25","       165","        68","-31.1","152","152.0","58.4","38.3","-1.7","-2.2","-5.6","-9.4","-9.4","-1.1","-3.3","-7.2","-7.2","-9.4","3652.5","3652.5","509.1","608.0","9.9","18.6","1.2"
"USC00252065","CULBERTSON, NE US","1921","631.5","631.5","        54","        35","        4","         4","         1","       176","        10","       196","        85","-20.6","51","58.0","38.4","40.0","-2.2","-2.2","-6.1","-6.7","-15.6","-1.7","-2.2","-6.1","-12.2","-12.2","3082.1","3082.1","372.8","172.0","11.9","21.1","2.7"
